iter	RMSE
0	0.8314465912
1	0.8022135732
2	0.7731804795
3	0.745811527
4	0.7198985613
5	0.6958158508
6	0.672690722
7	0.6518335522
8	0.6324624312
9	0.6134260998
10	0.5952243069
11	0.5787969858
12	0.5623692152
13	0.5473838528
14	0.5330040056
15	0.5203019829
16	0.5080322251
17	0.4962986695
18	0.484822412
19	0.4750896328
20	0.466183794
21	0.4567450393
22	0.4483851953
23	0.4403927373
24	0.4330006548
25	0.4261410915
26	0.4197182589
27	0.4139102686
28	0.4079520357
29	0.4025595132
30	0.3980168202
31	0.3934465028
32	0.3891341416
33	0.3849022627
34	0.3810078514
35	0.3773069908
36	0.3738308448
37	0.3705230241
38	0.3677340276
39	0.3649249634
40	0.3623084192
41	0.3597089449
42	0.3572332634
43	0.3551782066
44	0.3532089266
45	0.3514549015
46	0.3496018982
47	0.3478297614
48	0.3463208333
49	0.3448256653
50	0.3432618021
51	0.3418230981
52	0.3404134372
53	0.3391966025
54	0.337824548
55	0.3366360083
56	0.3356066396
57	0.3341803077
58	0.3329924927
59	0.3317982821
60	0.330869924
61	0.3295303673
62	0.3284645414
63	0.3275576272
64	0.326793189
65	0.3257122626
66	0.3250688152
67	0.3242730452
68	0.3231569051
69	0.3225638161
70	0.3215195694
71	0.3207195063
72	0.320095159
73	0.3192504354
74	0.3186584429
75	0.318133266
76	0.3177400502
77	0.3170600474
78	0.3162394159
79	0.3155878584
80	0.3151044368
81	0.3146315911
82	0.3142394478
83	0.3136200592
84	0.3130301545
85	0.3125448982
86	0.3120411316
87	0.3115424551
88	0.3110505025
89	0.3106043846
90	0.3102200177
91	0.309796427
92	0.3093566618
93	0.308854712
94	0.308428645
95	0.3078821909
96	0.3073864112
97	0.3069433402
98	0.3066650773
99	0.3062515398
100	0.3059370282
101	0.3056736459
102	0.3054146349
103	0.3051017197
104	0.3047066809
105	0.3042335258
106	0.303928283
107	0.3035719462
108	0.3030740351
109	0.3027163413
110	0.3026798748
111	0.3024245741
112	0.3020204214
113	0.301616628
114	0.3012900146
115	0.3009639407
116	0.3006949936
117	0.3005507322
118	0.3002729802
119	0.3002513163
120	0.299708188
121	0.2995129171
122	0.2991079499
123	0.29871382
124	0.2985489511
125	0.2982793534
126	0.2981302206
127	0.2974479238
128	0.2969511218
129	0.2966759457
130	0.2962948413
131	0.2959642298
132	0.2957179529
133	0.2955072677
134	0.2949775234
135	0.2947130843
136	0.294563812
137	0.2943572868
138	0.2941586229
139	0.2939655669
140	0.2937521132
141	0.2932900462
142	0.2928852597
143	0.2926578531
144	0.2924867753
145	0.2921217248
146	0.292081304
147	0.2919439869
148	0.2916318092
149	0.2914873759
150	0.2911536535
151	0.2908533508
152	0.2905539676
153	0.2901976061
154	0.2900211279
155	0.2898315985
156	0.2897291013
157	0.289578185
158	0.289196839
159	0.2888833755
160	0.2883826656
161	0.2881526258
162	0.2880860558
163	0.287654688
164	0.2873807506
165	0.2871680528
166	0.2870136604
167	0.2865137106
168	0.2862269498
169	0.2859515617
170	0.2856355717
171	0.2853206062
172	0.2852125099
173	0.2850129264
174	0.28474232
175	0.2845455599
176	0.2845378505
177	0.2840756199
178	0.2838581297
179	0.2835044051
180	0.2832789308
181	0.2830475661
182	0.282786001
183	0.2824887455
184	0.2822952274
185	0.2820984873
186	0.2820131876
187	0.2818318361
188	0.2816457
189	0.2813287979
190	0.2811450098
191	0.2810187269
192	0.2808427762
193	0.2806964969
194	0.2803759216
195	0.2800507289
196	0.2799612904
197	0.2796283997
198	0.2794086876
199	0.2791921277
200	0.2790832243
201	0.2788459173
202	0.2786598756
203	0.2783858766
204	0.2782198245
205	0.2778628545
206	0.2776552748
207	0.2775207216
208	0.277184155
209	0.2769534588
210	0.2766504848
211	0.2764398987
212	0.2762737882
213	0.2761473591
214	0.2758819685
215	0.2757401509
216	0.2754689054
217	0.2753034219
218	0.2749812105
219	0.2749014418
220	0.2747796768
221	0.2745910085
222	0.2741798131
223	0.2740059808
224	0.2738275024
225	0.2735790357
226	0.2734288457
227	0.2732251264
228	0.2731154956
229	0.2730124606
230	0.2728673966
231	0.272738243
232	0.2725283849
233	0.2724168129
234	0.2722754352
235	0.2720505138
236	0.2719375318
237	0.2716317051
238	0.2715617546
239	0.2714446325
240	0.2711915276
241	0.2709208507
242	0.2707022354
243	0.2705919103
244	0.2704736868
245	0.2703266787
246	0.2701765719
247	0.2698799379
248	0.26959194
249	0.2694663596
250	0.269386072
251	0.2691730431
252	0.2690360499
253	0.2688146159
254	0.2687443895
255	0.2686132718
256	0.2683516803
257	0.2681475865
258	0.268038747
259	0.2679616173
260	0.2677849838
261	0.2675903447
262	0.2674394216
263	0.2673437283
264	0.2671478691
265	0.267033904
266	0.2668723217
267	0.2667094167
268	0.2664952253
269	0.2662341515
270	0.2661163439
271	0.2659854449
272	0.2657591989
273	0.2655505564
274	0.265353346
275	0.2652496127
276	0.2650232572
277	0.2649270767
278	0.2648474246
279	0.2646799227
280	0.2644816702
281	0.264275833
282	0.2641573086
283	0.2640748434
284	0.2638751793
285	0.2636831818
286	0.2633855802
287	0.2632549656
288	0.2631930246
289	0.2630121567
290	0.2628899369
291	0.2628002148
292	0.2626573325
293	0.2624908105
