iter	Passed	Remaining
0	13	13886
1	27	13670
2	39	13048
3	49	12391
4	58	11732
5	63	10531
6	73	10412
7	84	10423
8	94	10446
9	103	10259
10	113	10238
11	125	10311
12	135	10285
13	146	10306
14	156	10257
15	168	10390
16	178	10298
17	188	10289
18	199	10278
19	208	10233
20	218	10195
21	232	10352
22	244	10397
23	255	10406
24	267	10434
25	278	10437
26	287	10375
27	298	10371
28	309	10364
29	318	10304
30	328	10283
31	338	10237
32	349	10253
33	363	10333
34	378	10426
35	389	10418
36	399	10398
37	412	10434
38	426	10514
39	439	10559
40	451	10562
41	464	10587
42	476	10596
43	492	10703
44	515	10941
45	544	11294
46	566	11477
47	588	11674
48	600	11652
49	613	11652
50	627	11669
51	638	11636
52	649	11608
53	663	11628
54	681	11703
55	695	11727
56	709	11729
57	722	11726
58	733	11698
59	745	11673
60	757	11660
61	773	11708
62	791	11765
63	801	11728
64	813	11704
65	825	11681
66	837	11658
67	849	11644
68	862	11636
69	873	11603
70	886	11597
71	898	11576
72	910	11558
73	922	11547
74	939	11582
75	950	11558
76	970	11637
77	983	11623
78	995	11607
79	1011	11627
80	1024	11618
81	1035	11593
82	1049	11594
83	1062	11588
84	1078	11606
85	1091	11604
86	1106	11614
87	1120	11611
88	1131	11581
89	1146	11593
90	1160	11594
91	1172	11572
92	1186	11574
93	1202	11594
94	1215	11575
95	1228	11564
96	1239	11543
97	1254	11548
98	1265	11517
99	1279	11518
100	1292	11503
101	1304	11481
102	1315	11454
103	1328	11445
104	1341	11435
105	1354	11421
106	1367	11413
107	1381	11410
108	1393	11388
109	1408	11397
110	1413	11321
111	1428	11326
112	1441	11316
113	1453	11297
114	1466	11286
115	1478	11263
116	1623	12255
117	1647	12314
118	1663	12315
119	1667	12227
120	1683	12231
121	1701	12242
122	1712	12213
123	1722	12171
124	1733	12136
125	1743	12094
126	1753	12056
127	1764	12023
128	1775	11986
129	1786	11953
130	1799	11935
131	1811	11913
132	1823	11889
133	1836	11866
134	1847	11838
135	1858	11804
136	1868	11771
137	1879	11737
138	1890	11708
139	1904	11701
140	1917	11683
141	1930	11662
142	1945	11661
143	1959	11647
144	1971	11625
145	1984	11610
146	1990	11552
147	2005	11543
148	2017	11523
149	2031	11509
150	2045	11502
151	2058	11483
152	2081	11525
153	2100	11540
154	2115	11534
155	2132	11537
156	2166	11633
157	2224	11852
158	2258	11946
159	2298	12069
160	2342	12209
161	2362	12220
162	2378	12212
163	2401	12243
164	2418	12238
165	2433	12225
166	2447	12205
167	2464	12202
168	2480	12199
169	2501	12212
170	2535	12290
171	2564	12343
172	2591	12386
173	2614	12413
174	2634	12419
175	2658	12448
176	2661	12375
177	2680	12376
178	2696	12368
179	2718	12385
180	2737	12387
181	2758	12398
182	2788	12449
183	2821	12513
184	2868	12636
185	2892	12656
186	2916	12680
187	2937	12687
188	2990	12834
189	3055	13028
190	3130	13261
191	3155	13279
192	3181	13303
193	3213	13351
194	3248	13411
195	3270	13417
196	3290	13411
197	3306	13391
198	3321	13370
199	3340	13363
200	3362	13366
201	3378	13347
202	3395	13330
203	3414	13324
204	3434	13319
205	3451	13301
206	3468	13286
207	3483	13262
208	3499	13244
209	3516	13229
210	3532	13210
211	3552	13204
212	3571	13195
213	3592	13194
214	3610	13181
215	3634	13192
216	3658	13202
217	3677	13192
218	3699	13194
219	3793	13450
220	3824	13480
221	3853	13503
222	3882	13528
223	3915	13565
224	3938	13567
225	3963	13575
226	4008	13650
227	4062	13755
228	4101	13808
229	4145	13879
230	4174	13898
231	4214	13952
232	4238	13952
233	4258	13940
234	4282	13939
235	4311	13958
236	4324	13921
237	4335	13881
238	4348	13847
239	4360	13808
240	4371	13768
241	4381	13722
242	4392	13684
243	4402	13641
244	4414	13602
245	4424	13561
246	4434	13519
247	4446	13481
248	4456	13441
249	4469	13407
250	4482	13374
251	4492	13334
252	4504	13299
253	4518	13270
254	4528	13230
255	4538	13190
256	4549	13152
257	4560	13114
258	4570	13075
259	4580	13036
260	4591	12999
261	4602	12963
262	4614	12930
263	4625	12896
264	4635	12856
265	4645	12818
266	4654	12779
267	4664	12740
268	4675	12705
269	4685	12668
270	4699	12643
271	4710	12608
272	4720	12569
273	4729	12532
274	4740	12497
275	4750	12460
276	4759	12423
277	4771	12391
278	4781	12355
279	4790	12319
280	4800	12284
281	4812	12253
282	4822	12218
283	4832	12184
284	4842	12149
285	4851	12111
286	4861	12077
287	4872	12044
288	4882	12012
289	4892	11979
290	4902	11944
291	4913	11913
292	4923	11881
293	4934	11849
294	4943	11815
295	4952	11780
296	4964	11752
297	4975	11719
298	4985	11688
299	4994	11652
300	5004	11621
301	5012	11586
302	5022	11554
303	5031	11520
304	5042	11489
305	5051	11456
306	5062	11427
307	5072	11397
308	5086	11374
309	5096	11343
310	5106	11313
311	5117	11284
312	5127	11254
313	5138	11226
314	5150	11201
315	5172	11195
316	5184	11169
317	5195	11142
318	5205	11113
319	5215	11083
320	5226	11055
321	5236	11026
322	5246	10995
323	5255	10965
324	5267	10940
325	5277	10912
326	5288	10884
327	5298	10856
328	5308	10827
329	5319	10799
330	5328	10770
331	5341	10746
332	5352	10720
333	5363	10694
334	5373	10666
335	5384	10640
336	5395	10615
337	5405	10586
338	5417	10562
339	5428	10537
340	5441	10515
341	5453	10492
342	5466	10471
343	5480	10450
344	5493	10429
345	5506	10408
346	5517	10383
347	5529	10360
348	5541	10336
349	5551	10309
350	5562	10284
351	5570	10254
352	5580	10227
353	5590	10201
354	5600	10175
355	5610	10149
356	5620	10123
357	5631	10099
358	5642	10074
359	5654	10051
360	5668	10033
361	5681	10012
362	5694	9992
363	5709	9975
364	5721	9953
365	5734	9932
366	5752	9922
367	5767	9905
368	5787	9897
369	5802	9880
370	5817	9863
371	5831	9844
372	5843	9823
373	5855	9801
374	5868	9780
375	5881	9760
376	5894	9740
377	5906	9719
378	5919	9698
379	5931	9678
380	5944	9657
381	5956	9636
382	5967	9614
383	5979	9592
384	5992	9572
385	6005	9552
386	6018	9533
387	6030	9512
388	6044	9493
389	6071	9496
390	6086	9479
391	6097	9456
392	6111	9438
393	6124	9420
394	6138	9401
395	6151	9382
396	6165	9364
397	6177	9344
398	6191	9326
399	6204	9306
400	6216	9285
401	6228	9264
402	6239	9243
403	6251	9222
404	6263	9201
405	6275	9180
406	6287	9161
407	6299	9140
408	6311	9120
409	6322	9097
410	6333	9076
411	6344	9055
412	6356	9034
413	6365	9010
414	6376	8987
415	6385	8964
416	6395	8941
417	6406	8919
418	6415	8895
419	6425	8873
420	6435	8851
421	6446	8829
422	6456	8806
423	6466	8784
424	6476	8762
425	6486	8740
426	6496	8717
427	6505	8694
428	6515	8671
429	6525	8649
430	6536	8629
431	6547	8608
432	6557	8586
433	6568	8566
434	6579	8546
435	6590	8524
436	6600	8502
437	6609	8480
438	6627	8469
439	6638	8448
440	6648	8427
